"donor_id","CD8-positive, alpha-beta T cell","gamma-delta T cell","regulatory T cell","naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell","central memory CD4-positive, alpha-beta T cell","effector memory CD4-positive, alpha-beta T cell","central memory CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell","CD4-positive, alpha-beta cytotoxic T cell","CD4-positive, alpha-beta T cell","mucosal invariant T cell","double negative thymocyte"
"938_939",0,9,32,84,23,206,37,29,119,4,0,4,1
"939_940",1,13,17,54,9,204,10,15,71,9,0,3,4
"940_941",0,2,11,97,21,51,3,3,143,8,0,1,0
"941_942",2,13,36,145,59,401,44,10,80,5,0,29,1
"942_943",0,23,23,238,31,164,16,1,158,6,0,3,1
"943_944",0,6,14,52,2,258,24,5,86,2,0,4,0
"944_945",0,55,25,115,48,266,34,10,82,25,0,13,1
"945_946",0,17,24,174,95,233,30,20,143,11,2,40,1
"946_947",0,24,38,246,54,308,49,32,129,19,0,6,3
"947_948",1,42,34,423,243,426,35,26,95,3,2,3,2
"949_950",0,41,36,353,167,345,53,18,212,2,0,46,3
"950_951",0,14,9,125,16,121,6,3,203,19,0,0,0
"951_952",0,62,46,495,261,502,55,53,72,1,1,48,1
"952_953",0,3,34,367,5,368,10,3,49,0,0,0,0
"953_954",0,29,23,344,48,332,26,13,97,6,4,13,2
"954_955",0,38,23,334,156,228,35,14,46,6,0,39,2
"955_956",0,19,24,220,132,197,11,10,26,2,1,26,3
"956_957",0,19,39,300,71,583,68,34,89,7,2,5,4
"957_958",0,31,34,427,320,270,48,21,100,3,0,20,2
"958_959",0,10,38,318,47,476,21,10,27,2,0,2,1
"959_960",0,37,34,132,120,513,50,74,222,3,3,26,3
"960_961",0,25,28,103,19,269,38,7,167,22,0,11,1
"961_962",0,1,30,368,69,324,8,4,17,3,1,0,4
"962_963",0,84,35,246,48,424,78,12,176,16,1,14,5
"968_969",0,14,28,269,20,220,37,12,364,7,2,10,3
"969_970",1,23,16,55,23,259,111,13,457,17,1,18,1
"970_971",0,41,27,269,43,211,11,11,81,6,1,18,1
"971_972",0,8,21,279,129,200,26,11,102,3,0,6,2
"972_973",0,28,8,183,39,200,35,17,353,47,0,20,2
"973_974",0,87,9,138,11,133,27,8,140,23,0,1,0
"974_975",0,19,7,187,13,182,25,9,142,16,0,7,0
"975_976",0,22,23,290,52,213,21,6,185,8,1,1,0
"976_977",0,7,6,147,10,222,32,4,168,52,0,5,3
"977_978",0,0,13,318,61,310,36,9,41,1,0,10,1
"978_979",0,1,17,429,92,311,17,7,44,5,1,9,2
"979_980",0,5,10,141,44,126,33,5,100,1,0,3,0
"980_981",0,23,15,146,18,310,21,11,109,3,0,3,0
"981_982",1,13,21,204,25,434,124,25,332,91,0,8,0
"982_983",0,10,16,250,62,344,19,13,78,11,0,16,1
"983_984",0,24,13,136,131,393,64,8,187,32,0,9,6
"984_985",0,2,5,231,30,322,15,7,270,4,1,3,2
"985_986",0,7,16,290,70,319,34,26,34,3,1,3,3
"986_987",0,17,27,292,35,222,11,21,67,2,4,8,4
"987_988",0,22,14,312,41,233,31,4,216,15,1,7,0
"988_989",0,20,17,115,16,226,13,5,97,3,1,7,0
"989_990",0,8,25,438,55,187,45,8,83,20,0,6,5
"990_991",0,42,19,311,38,208,39,15,342,29,1,3,2
"991_992",1,28,11,173,33,251,65,11,242,101,0,16,0
"992_993",0,9,6,347,19,214,30,11,184,16,0,2,1
"993_994",0,26,33,331,82,343,26,16,97,5,2,19,6
"994_995",1,22,32,181,37,517,134,47,273,6,2,11,4
"995_996",0,35,29,318,22,287,47,25,281,2,0,16,3
"996_997",0,12,22,446,90,517,27,22,64,4,0,11,4
"997_998",0,5,26,229,12,422,42,26,101,12,0,4,0
"998_999",0,16,21,326,31,322,44,23,167,4,2,17,2
"999_1000",0,8,33,419,45,386,44,47,100,4,0,5,6
"1000_1001",0,24,22,198,47,562,43,20,55,8,3,14,2
"1001_1002",0,30,34,404,56,394,69,23,124,3,1,2,3
"1002_1003",0,13,20,346,34,409,6,6,84,4,0,3,0
"1003_1004",0,9,20,560,93,414,31,22,136,10,0,16,2
"1004_1005",0,48,24,248,109,253,39,13,127,4,2,27,1
"1005_1006",0,11,9,267,33,262,15,26,26,1,1,9,1
"1006_1007",0,5,10,206,23,164,10,4,47,5,0,5,0
"1007_1008",0,30,13,84,7,237,53,17,413,72,2,7,0
"1008_1009",1,24,42,711,76,656,48,23,350,16,5,18,4
"1009_1010",0,22,19,481,32,232,14,14,40,9,1,12,0
"1010_1011",0,9,27,363,15,326,18,25,120,32,0,2,0
"1011_1012",0,11,13,84,7,356,72,17,188,13,0,3,0
"1012_1013",2,14,14,57,2,230,37,18,322,11,0,8,1
"1014_1015",0,4,27,264,3,238,11,11,70,2,0,19,0
"1015_1016",0,48,62,413,10,254,25,4,152,24,0,6,0
"1016_1017",2,38,31,170,43,274,61,18,499,20,0,6,5
"1018_1019",0,10,69,293,32,297,50,13,68,4,0,10,2
"1019_1020",1,24,29,429,10,242,10,4,306,50,1,2,0
"1020_1021",2,3,14,56,10,129,9,8,262,10,1,0,3
"1021_1022",0,9,51,274,9,505,45,9,283,14,2,1,3
"1022_1023",0,4,34,335,31,174,19,3,122,11,0,8,0
"1023_1024",0,13,12,216,26,145,9,7,49,4,0,4,2
"1024_1025",0,36,25,71,13,354,122,12,246,37,1,49,1
"1025_1026",0,4,23,267,51,459,40,18,66,3,0,48,0
"1026_1027",0,28,15,286,104,312,28,17,94,11,2,9,2
"1027_1028",0,131,16,183,39,193,29,12,164,12,1,5,1
"1028_1029",1,20,9,317,23,152,20,12,192,14,0,7,1
"1029_1030",0,5,13,492,42,187,9,3,31,0,1,4,0
"1030_1031",0,32,15,129,92,429,50,30,172,4,0,4,0
"1031_1032",0,26,18,371,50,190,29,11,214,42,2,8,5
"1032_1033",0,17,15,168,14,501,40,30,85,36,0,3,0
"1033_1034",0,10,23,618,59,146,19,14,119,29,0,1,3
"1034_1035",1,11,15,176,53,517,37,63,293,3,5,13,1
"1035_1036",3,34,24,193,21,309,31,16,148,18,0,10,9
"1036_1037",2,30,13,218,12,112,14,3,410,42,2,10,1
"1037_1038",0,16,7,341,92,340,39,12,62,2,0,9,2
"1038_1039",0,13,17,361,49,252,33,20,216,5,0,5,0
"1039_1040",1,23,20,326,6,196,12,7,61,6,0,2,0
"1040_1041",0,8,28,296,62,283,24,16,273,20,4,13,4
"1041_1042",0,15,21,595,47,213,23,6,155,24,0,5,1
"1042_1043",0,63,20,363,112,289,41,10,253,35,0,15,1
"1043_1044",2,13,3,202,10,115,5,1,440,41,0,1,0
"1044_1045",0,22,4,235,19,156,11,3,180,4,3,1,2
"1045_1046",0,41,8,389,18,156,44,8,251,25,4,4,4
"1046_1047",0,4,15,340,95,380,33,24,60,3,0,0,0
"1047_1048",0,11,39,690,9,482,78,5,30,3,0,4,2
"1048_1049",0,18,17,304,106,184,67,13,303,19,0,18,2
"1049_1050",1,38,6,493,19,101,9,3,126,31,1,4,0
"1050_1051",0,57,2,187,19,71,6,3,87,5,0,1,0
"1051_1052",0,5,17,325,74,560,63,28,50,8,3,8,1
"1052_1053",0,56,14,104,7,222,28,16,375,8,2,5,3
"1053_1054",0,9,23,336,77,403,41,16,372,20,0,5,3
"1054_1055",0,2,1,167,7,113,28,8,600,56,1,2,0
"1055_1056",0,31,2,342,39,63,3,7,93,10,0,1,1
"1056_1057",0,16,25,146,20,223,36,10,126,4,2,15,2
"1057_1058",0,6,29,212,22,600,35,87,129,15,4,1,10
"1058_1059",0,3,25,190,69,322,19,16,63,0,1,4,0
"1059_1060",0,57,10,172,6,144,10,4,357,13,0,5,2
"1060_1061",0,26,12,58,3,141,23,6,416,110,0,23,0
"1061_1062",0,1,11,74,4,200,20,7,283,6,0,9,0
"1062_1063",0,4,8,349,24,172,11,4,121,55,0,2,1
"1063_1064",1,22,36,282,7,403,49,12,102,1,1,4,0
"1064_1065",0,17,11,290,14,359,25,21,148,1,0,17,0
"1065_1066",0,23,27,278,35,329,24,16,67,2,0,17,2
"1066_1067",0,13,13,504,15,181,6,4,108,11,0,4,0
"1068_1069",2,5,28,331,11,308,19,3,670,3,0,3,3
"1070_1071",1,13,20,251,33,259,39,9,193,69,2,28,4
"1071_1072",0,11,52,477,17,147,9,6,143,19,1,6,1
"1072_1073",2,23,19,244,47,145,28,12,194,26,2,1,2
"1073_1074",2,7,16,124,10,322,55,25,300,6,3,2,4
"1074_1075",0,61,18,78,14,467,61,18,431,7,0,9,0
"1075_1076",0,14,13,193,190,410,48,18,171,9,0,10,3
"1076_1077",0,5,32,110,9,381,65,34,186,6,2,4,2
"1077_1078",0,12,26,51,18,163,12,8,40,2,1,17,3
"1078_1079",0,7,21,321,102,307,44,8,66,5,0,6,5
"1079_1080",0,15,41,156,21,385,56,7,137,12,2,5,11
"1080_1081",0,16,28,138,24,338,70,24,245,52,0,2,8
"1081_1082",1,58,18,86,4,256,33,15,403,93,0,2,6
