"donor_id","CD8-positive, alpha-beta T cell","gamma-delta T cell","regulatory T cell","naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell","central memory CD4-positive, alpha-beta T cell","effector memory CD4-positive, alpha-beta T cell","central memory CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell","CD4-positive, alpha-beta cytotoxic T cell","CD4-positive, alpha-beta T cell","mucosal invariant T cell","double negative thymocyte"
"173_174",0,12,16,122,12,334,21,5,95,5,0,27,0
"175_176",0,26,8,86,82,155,35,20,51,1,0,10,0
"176_177",0,22,20,302,140,247,34,12,132,8,0,6,3
"177_178",0,5,39,429,200,256,26,29,23,3,0,8,1
"178_179",0,5,21,278,62,276,26,7,22,4,0,6,2
"179_180",0,4,16,574,276,226,26,10,24,1,0,7,0
"180_181",0,33,54,724,53,373,22,15,66,3,1,12,2
"181_182",0,14,39,204,61,351,49,21,214,34,1,23,3
"182_183",0,11,6,180,33,176,14,12,141,5,1,2,5
"183_184",0,6,49,276,156,483,24,132,198,13,3,5,7
"184_185",0,6,10,359,17,142,3,3,22,3,1,5,1
"185_186",1,23,22,106,14,582,67,40,125,1,0,3,4
"186_187",0,22,22,219,171,242,29,16,147,4,0,43,1
"187_188",1,45,12,187,119,137,7,17,89,2,0,5,1
"188_189",0,14,5,15,1,98,2,7,27,0,0,0,1
"189_190",0,5,21,149,19,293,14,19,31,0,0,4,0
"190_191",1,10,16,358,70,317,36,9,280,51,0,10,3
"191_192",0,18,18,453,50,345,20,8,80,7,0,27,4
"192_193",0,13,20,355,76,379,11,11,16,2,0,5,0
"193_194",0,5,4,34,3,134,18,5,99,2,0,1,0
"194_195",0,24,18,530,119,412,22,4,41,4,0,0,0
"196_197",0,2,7,129,10,326,16,6,78,3,0,3,0
"197_198",0,11,12,147,93,235,43,5,246,12,0,12,0
"198_199",0,39,17,502,182,397,31,12,48,15,0,12,0
"199_200",0,52,17,74,26,355,61,16,295,224,0,24,2
"200_201",0,15,13,301,65,419,40,6,22,3,0,2,0
"201_202",0,10,10,197,56,313,24,7,76,6,0,0,0
"202_203",0,12,15,298,104,583,59,16,122,84,0,6,1
"203_204",0,13,15,226,91,421,25,19,90,5,0,0,0
"204_205",0,7,16,472,48,742,22,11,65,5,0,1,0
"206_207",0,36,56,287,86,403,103,6,169,62,0,30,2
"207_208",4,23,20,122,51,207,39,24,505,38,2,23,2
"208_209",0,17,23,139,53,302,46,18,208,17,1,6,0
"209_210",1,34,21,122,41,114,9,2,223,22,2,14,3
"210_211",0,17,47,374,64,371,30,8,340,26,0,6,3
"211_212",1,10,28,109,31,509,53,19,65,3,2,26,8
"212_213",0,6,26,203,23,245,34,10,176,18,0,17,1
"213_214",2,19,31,180,43,243,14,5,172,18,0,10,1
"214_215",0,14,63,283,50,324,57,20,145,22,2,12,2
"215_216",3,18,44,403,157,414,81,17,267,68,0,17,4
"217_218",2,46,33,129,30,343,32,14,166,40,0,11,3
"219_220",1,27,56,390,40,453,29,17,283,19,1,11,0
"220_221",0,4,21,146,32,271,14,23,47,10,0,10,0
"221_222",0,22,48,133,15,309,36,39,123,34,2,18,1
"222_223",0,19,63,511,141,485,65,18,81,17,0,11,3
"223_224",0,14,21,236,9,350,84,13,266,6,0,5,1
"224_225",0,5,36,360,18,421,36,17,160,8,0,18,1
"225_226",0,19,25,270,116,274,28,24,105,1,0,10,3
"226_227",0,4,17,110,1,63,9,1,32,3,0,0,0
"229_230",0,17,21,146,206,163,16,24,70,5,0,6,0
"230_231",1,2,23,207,11,272,26,14,102,22,0,1,1
"231_232",0,22,16,149,24,179,18,15,91,4,0,3,1
"232_233",12,7,26,226,211,344,40,27,58,3,10,7,3
"233_234",0,17,40,184,40,376,17,17,69,9,0,5,3
"236_237",0,3,23,292,114,382,23,20,102,3,1,2,0
"237_238",1,56,18,203,72,92,44,14,62,4,1,23,0
"238_239",0,20,31,429,89,141,35,10,89,3,0,17,2
"239_240",0,27,37,330,92,167,16,12,49,17,0,16,3
"240_241",0,4,3,164,97,199,32,17,153,1,0,4,0
"241_242",0,7,10,148,11,402,73,14,205,56,0,2,1
"242_243",1,12,29,383,16,296,21,6,143,24,0,1,2
"243_244",0,14,14,160,249,171,28,45,337,15,0,15,2
"244_245",0,18,15,113,7,251,33,11,167,86,0,3,0
"245_246",0,2,36,439,56,448,13,11,39,1,0,0,2
"246_247",0,16,29,214,125,212,38,9,89,3,0,21,2
"247_248",0,13,16,452,29,401,11,6,137,14,2,2,1
"248_249",0,44,6,87,29,222,10,14,169,1,0,0,1
"250_251",0,3,30,320,74,274,9,4,34,8,1,14,1
"251_252",0,41,12,359,49,250,21,10,254,32,2,27,0
"252_253",0,27,33,554,138,238,12,4,117,1,0,13,6
"255_256",0,7,50,481,86,287,101,14,232,18,1,15,3
"256_257",0,24,28,190,157,204,46,15,122,4,1,4,0
"257_258",0,9,52,255,43,487,52,18,171,2,0,1,1
"258_259",0,5,29,110,6,185,27,6,54,0,2,5,1
"259_260",0,22,30,285,45,344,53,10,89,10,1,28,1
"260_261",0,0,39,323,50,388,28,19,51,2,7,2,1
"262_263",0,9,49,465,22,344,30,2,136,11,5,1,3
"263_264",1,1,44,269,11,352,25,5,64,5,1,8,2
"264_265",2,5,15,14,19,221,87,109,392,6,3,1,0
"266_267",0,5,9,263,57,237,23,8,84,2,0,1,5
"267_268",1,11,21,128,25,326,66,10,244,30,0,7,3
"269_270",0,2,21,69,1,243,17,12,31,2,1,3,0
"270_271",0,5,46,350,77,258,61,15,122,18,1,48,4
"271_272",1,15,13,203,211,237,32,32,61,3,1,9,7
"272_273",0,5,19,183,64,129,8,18,34,0,1,0,0
"273_274",0,4,16,199,14,218,41,18,65,3,1,8,3
"274_275",0,3,31,331,17,221,29,3,68,4,1,20,0
"275_276",0,10,31,157,131,355,32,20,136,6,0,14,9
"276_277",0,22,23,142,48,210,61,15,210,16,0,57,0
"278_279",0,25,41,342,72,223,41,17,111,8,1,10,1
"279_280",0,18,19,232,156,127,35,16,121,12,0,14,5
"280_281",0,19,21,426,170,167,21,16,50,3,0,11,1
